Gene_ID	C2	C8	GL	EH	LH	ET	LT	BC	MG
AT1G01010	2.67227302564091	-0.373846047317663	0.0386721619895368	-0.309130040272922	-0.458206909287846	-1.27390362813444	-1.19998513389776	-1.68009878082698	-0.70475272117294
AT1G01020	3.98198008468601	4.35261179497895	4.58154311838614	4.93409723275221	4.94994959197639	5.29736509053343	4.9527055019524	3.786621876086	4.99249920089195
AT1G01030	-1.58371607000048	-2.76749618416622	-2.76749618416622	-2.33589524345151	0.0841412271515288	1.35917432501231	1.09226812702694	2.3329059686352	1.76772336134844
AT1G01040	3.04646065264716	3.1816505294047	3.41593253104211	3.68006123215678	3.92035546395872	3.62496581521226	3.38931277551411	4.1632995990282	4.20054541138058
AT1G01050	5.88639078922463	6.1621765577093	6.44012399218052	6.14223810957389	6.03693824537879	6.31675817319819	6.1193912027018	5.67087473308203	5.57110189259829
AT1G01060	-0.501150074917311	1.31480048849876	1.75604010684383	2.07763620760899	2.05312703841266	1.38487417948052	1.61585278564212	3.02603089151341	2.40621636411523
AT1G01080	2.84171309588234	3.7929274952067	4.79273362289019	5.19840795214634	5.79950707623456	5.88253347723276	6.24977475480379	5.4879758668558	3.49408204925878
AT1G01090	7.5586190230413	7.94909152833327	8.25802372693083	8.52748789171551	8.92505600656409	9.59274165705851	9.81109338414591	10.5241365238999	9.56639471326448
AT1G01100	10.8764812653228	11.2474511948936	10.9663291017613	10.3189723613436	10.4596745162776	10.8323006951513	10.69449322052	9.52435341969939	9.08507470325616
AT1G01110	-0.76531469981413	4.3937810264769	5.34038673274703	5.06267995890598	4.77118051995056	3.68480016759195	3.44910820831818	3.08928529500217	1.89710181174515
AT1G01120	3.99597338052776	3.40624443824727	4.96033380516733	4.58201341240412	4.93215729902491	4.90094145392326	4.1409033272026	4.65102509264519	2.92166346058672
AT1G01130	0.0103784156196639	-0.0251961115318923	0.187669819334375	0.749914111560117	0.995108585699873	1.54820592181614	1.72899402316223	1.46204863094414	1.45780507004648
AT1G01140	2.65898662693018	3.34168545453729	4.02721231210713	4.1800213615765	4.4747017984608	4.71042049155373	4.96983793791579	5.68886623427837	4.66819114077312
